,Undifferentiated,Neutrophil,Monocyte,Baso,Erythroid,Mast,Meg,Eos,Ccr7_DC,Lymphoid,pDC
11246,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11247,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11248,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11249,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11250,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11251,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11252,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11253,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11254,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11255,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11256,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11257,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11281,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11282,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11283,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11284,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11285,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11286,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11290,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11291,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11292,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11293,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11294,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11320,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11321,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11322,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11323,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11324,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11325,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11326,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11327,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11328,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11329,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11330,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11331,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11332,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11333,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11334,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11335,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11336,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11337,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11338,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11339,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11340,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11341,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11342,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11343,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11344,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11388,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11389,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11390,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11391,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11392,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11393,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11394,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11395,15.0,23.0,11.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
11404,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11405,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11406,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11407,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11411,5.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11422,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11423,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11424,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11425,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11426,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11427,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11428,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11429,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11430,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11431,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11432,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11433,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11434,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11435,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11436,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11437,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11438,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11439,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11440,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11441,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11442,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11443,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11444,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11445,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11446,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11447,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11448,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11449,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11450,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11451,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11452,5.0,10.0,6.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
11486,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11487,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11488,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11489,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11490,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11491,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11492,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11493,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11494,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11495,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11496,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11497,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11498,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11499,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11500,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11501,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11502,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11503,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11504,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11505,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11506,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11507,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11508,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11509,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11510,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11511,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11512,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11513,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11514,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11515,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11516,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11517,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11518,17.0,15.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
11552,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11553,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11554,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11555,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11556,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11557,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11558,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11559,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11560,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11561,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11562,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11584,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11585,11.0,8.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11607,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11608,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11609,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11610,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11611,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11612,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11613,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11614,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11615,9.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11639,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11640,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11641,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11642,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11643,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11644,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11645,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11646,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11647,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11648,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11649,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11650,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11651,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11652,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11653,10.0,11.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11667,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11668,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11669,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11675,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11676,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11686,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11687,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11688,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11689,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11690,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11691,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11692,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11693,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11694,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11695,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11696,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11697,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11722,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11723,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11724,9.0,10.0,5.0,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
11746,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11747,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11748,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11749,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11750,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11751,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11752,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11753,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11754,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11755,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11756,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11757,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11758,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11759,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11760,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11761,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11762,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11763,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11764,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11765,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11766,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11767,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11768,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11769,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11770,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11771,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11772,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11773,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11774,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11775,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11776,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11777,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11778,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11779,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11780,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11781,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11782,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11783,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11784,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11785,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11786,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11787,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11788,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11789,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11790,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11791,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11792,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11793,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11794,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11795,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11829,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11830,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11831,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11832,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11833,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11834,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11835,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11836,17.0,18.0,12.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
11844,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11845,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11846,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11847,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11848,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11849,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11850,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11851,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11852,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11853,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11854,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11855,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11856,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11891,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11892,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11893,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11894,15.0,12.0,3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
11904,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11905,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11906,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11907,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11908,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11909,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11910,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11911,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11912,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11913,4.0,10.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
11943,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
11944,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
11945,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
11946,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
11947,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
11948,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
11949,10.0,10.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
